sales_id,product_id,store_id,product_name,brand,category,volume_ml,alcohol_percentage,store_name,city,state,region,store_type,sales_date,quantity_sold,unit_price,total_sales,email
13,WZKYEDQ6,129,Guinness Development,Guinness,Vodka,700,27.19,Tran-Diaz,Sanchezview,MO,West,Wholesale,2025/04/22,2,26.01,52.02,meyercole@example.net
14,F44EY59V,143,Don Julio Involve,Don,Vodka,750,42.93,Lawrence-Williams,Lake Robertchester,OR,Northeast,Retail,2025/05/18,25,23.08,577.0,tonybuchanan@example.org
15,H1G5U0DG,105,Don Julio Not,Don,Whisky,700,21.08,"Ortega, Wilson and Hill",Douglasstad,WV,Northeast,Wholesale,2025/03/30,47,71.07,3340.29,boydmaria@example.net
16,RS6Z7UAU,142,Guinness Minute,Guinness,Whisky,1000,40.67,"Park, Bennett and Flores",Lake Kristine,SC,West,Retail,2025/04/02,16,28.28,452.48,carrillochristopher@example.com
17,Z52CHQQQ,121,Johnnie Walker Position,Johnnie,Vodka,750,30.32,Gray-Williams,Port Justin,MP,Northeast,Wholesale,2025/04/24,2,25.88,51.76,jennifer90@example.com
18,4B5ZJ9XY,133,Baileys Would,Baileys,Gin,750,35.82,Doyle-Fitzgerald,Lake Anthonyborough,NV,Midwest,Wholesale,2025/05/11,36,96.26,3465.36,sandra11@example.net
19,GMVUMJD7,122,Tanqueray Institution,Tanqueray,Rum,700,5.82,Ramos PLC,New Stevenstad,PR,Northeast,Retail,2025/04/25,7,53.17,372.19,gregory84@example.com
20,QNJWX9K1,136,Captain Morgan Thank,Captain,Beer,700,6.61,"Reyes, Gomez and Graves",Cunninghamburgh,VT,Southeast,Retail,2025/04/24,49,28.02,1372.98,marklowe@example.net
21,WA5XLYAO,143,Captain Morgan Particularly,Captain,Vodka,1000,38.02,"Peterson, Jones and Garcia",Charlesfort,NC,Southeast,Wholesale,2025/04/24,9,89.73,807.57,pameladougherty@example.org
22,9PHPDIZ1,148,Guinness Compare,Guinness,Gin,700,16.31,"Campbell, Wilcox and Taylor",West John,AL,South,Retail,2025/03/23,15,45.44,681.6,margaret58@example.org
23,AKXQACBS,141,Guinness Attorney,Guinness,Whisky,1000,15.04,Griffin-Weaver,Scottshire,NV,South,Wholesale,2025/04/27,13,5.75,74.75,olivia50@example.com
24,J5X1DKG7,124,Ciroc Imagine,Ciroc,Tequila,750,14.51,Nguyen PLC,West Todd,WY,Midwest,Retail,2025/03/21,35,63.73,2230.55,laura95@example.com
25,HH68RJIS,148,Baileys Represent,Baileys,Tequila,750,35.24,Carter and Sons,South Yvetteborough,KS,Northeast,Retail,2025/05/18,28,46.29,1296.12,brendanmiles@example.com
26,FR85ZU8E,120,Ciroc Risk,Ciroc,Whisky,500,10.97,Robinson LLC,Mortonville,VI,South,Retail,2025/05/08,44,52.86,2325.84,paullinda@example.net
27,OHYJ8RFV,102,Smirnoff Natural,Smirnoff,Beer,500,34.06,"Charles, Meyer and Crawford",Lake Kellymouth,NH,South,Wholesale,2025/05/07,19,31.93,606.67,trevor22@example.org
28,KXWAV9YW,105,Guinness Amount,Guinness,Beer,1000,17.17,Vega PLC,Port Vincentshire,NV,Midwest,Retail,2025/05/02,29,23.57,683.53,katherinehodges@example.com
29,1FBNL0CJ,147,Smirnoff Offer,Smirnoff,Vodka,750,10.0,Black LLC,Lake Markhaven,OK,Southeast,Retail,2025/03/22,12,11.12,133.44,douglascontreras@example.org
30,FIMTNGEW,150,Guinness Boy,Guinness,Rum,700,21.22,Romero-Wood,Lake Williammouth,PA,Northeast,Wholesale,2025/04/03,6,55.33,331.98,lbennett@example.org
31,0DT58PGR,143,Ciroc Strong,Ciroc,Tequila,500,26.25,Wells-Willis,South Frank,OK,South,Retail,2025/05/13,50,19.93,996.5,anthony02@example.net
32,WGSM01QY,112,Don Julio Gas,Don,Beer,750,24.99,"Greene, Valencia and Morales",Batesport,IA,Southeast,Wholesale,2025/04/26,10,92.96,929.6,petersondaniel@example.net
33,9DUPS4DU,142,Smirnoff Later,Smirnoff,Gin,750,41.03,"Montgomery, Sanders and Lara",Millerville,FL,West,Retail,2025/05/16,11,67.76,745.36,ocollins@example.com
34,3SNZRSDZ,111,Baileys Military,Baileys,Beer,500,17.78,Lowe-Jenkins,Greenmouth,CO,South,Wholesale,2025/03/30,47,23.37,1098.39,kgonzalez@example.net
35,4RMR9P0N,105,Johnnie Walker College,Johnnie,Vodka,750,21.43,Mercado Group,Lake Justin,AZ,South,Retail,2025/04/01,16,88.69,1419.04,calvin97@example.com
36,T9P2H9QR,148,Captain Morgan Somebody,Captain,Gin,500,34.77,"Gonzalez, Mitchell and Schroeder",Kathyfurt,PW,South,Wholesale,2025/03/29,18,14.5,261.0,melissa52@example.org
37,HD1LHPNG,127,Johnnie Walker Pay,Johnnie,Whisky,700,36.01,Banks Inc,Goodland,OR,Midwest,Retail,2025/05/17,46,87.39,4019.94,xdavis@example.org
38,R3C0QTJR,138,Captain Morgan Defense,Captain,Whisky,1000,7.61,"Wilson, Welch and Ali",Manuelchester,NJ,Southeast,Retail,2025/04/29,13,8.48,110.24,garciadanielle@example.com
39,888RZPH4,140,Captain Morgan Health,Captain,Rum,1000,24.75,Barnes Inc,Kathrynfurt,WV,Northeast,Wholesale,2025/03/27,3,79.1,237.3,patrick34@example.com
40,HATAXYS6,130,Don Julio Single,Don,Beer,500,12.86,Ellis Ltd,Besttown,GA,Northeast,Retail,2025/05/05,26,83.57,2172.82,ptaylor@example.net
41,TB4FRLMP,104,Johnnie Walker Plant,Johnnie,Beer,700,34.67,"Cruz, Harmon and Thompson",Pettyside,UT,South,Wholesale,2025/04/12,45,9.0,405.0,richard77@example.com
42,21I1HBUJ,128,Tanqueray Collection,Tanqueray,Liqueur,1000,44.6,"Gardner, Oliver and Dunn",Jacquelineville,SC,Northeast,Retail,2025/05/10,28,84.0,2352.0,josephrollins@example.com
43,KHN4ACZ9,136,Smirnoff Sound,Smirnoff,Whisky,700,30.7,Warren LLC,New Willieton,VA,Northeast,Wholesale,2025/05/19,1,59.14,59.14,john09@example.com
44,QO1I3TGV,108,Guinness Not,Guinness,Beer,500,36.43,"Duarte, Johnson and Sullivan",Elliottstad,IN,South,Wholesale,2025/03/28,21,77.38,1624.98,michaelnoble@example.org
45,S4YIEEUY,145,Smirnoff Behind,Smirnoff,Rum,1000,34.85,"Flowers, Rogers and Ibarra",New Kaylaville,LA,Midwest,Wholesale,2025/04/29,48,54.79,2629.92,znelson@example.org
46,D9Z8PUFR,136,Tanqueray Career,Tanqueray,Vodka,500,23.52,"Williamson, Harding and Kirby",Griffithmouth,AS,Northeast,Wholesale,2025/05/03,34,20.6,700.4,parsonsdaryl@example.com
47,6M50VD1N,130,Johnnie Walker Score,Johnnie,Rum,700,27.5,Jones-Alvarez,Benjaminshire,NC,Midwest,Retail,2025/03/22,9,21.9,197.1,raymondcraig@example.org
48,W4S4KVX7,109,Guinness Power,Guinness,Gin,700,15.49,Mendoza LLC,Jonesborough,PW,South,Wholesale,2025/04/12,34,94.18,3202.12,krobinson@example.org
49,12JZAP6F,107,Baileys Guess,Baileys,Tequila,500,16.54,"Johnson, Orr and Price",West Davidtown,KY,West,Wholesale,2025/04/14,26,55.5,1443.0,michaelhenderson@example.com
50,9LGIKIXL,107,Tanqueray Human,Tanqueray,Beer,750,11.48,Oconnor Ltd,Melanieview,LA,Midwest,Retail,2025/05/13,26,83.19,2162.94,smithsandra@example.org
51,6X6G0FPD,147,Baileys Want,Baileys,Whisky,1000,37.62,Little-Jones,Kristinahaven,MO,South,Wholesale,2025/04/30,28,99.25,2779.0,aallen@example.org
52,BHSB4CWJ,145,Baileys Oil,Baileys,Liqueur,1000,37.77,Randolph-Shepard,East Jessefurt,IA,Northeast,Retail,2025/05/17,29,36.47,1057.63,pamela94@example.net
53,6727W858,150,Tanqueray Affect,Tanqueray,Whisky,1000,31.67,"Cobb, Bowers and Martinez",Rodneyton,PW,Southeast,Retail,2025/03/25,2,80.0,160.0,pfisher@example.com
54,OY4VTQLF,111,Ciroc Allow,Ciroc,Whisky,750,24.89,Jones-Morris,South Paul,RI,Midwest,Retail,2025/04/25,19,37.24,707.56,amberthompson@example.com
55,2H0JF44E,128,Captain Morgan Skin,Captain,Vodka,700,28.42,"Norris, Black and Mcknight",East Tiffanystad,KS,Northeast,Retail,2025/04/23,20,71.01,1420.2,simmonstravis@example.net
56,U13QLQPN,124,Captain Morgan Clearly,Captain,Vodka,500,30.32,Wilson-Moyer,South Hailey,FL,Northeast,Wholesale,2025/05/13,5,48.3,241.5,brandy98@example.net
57,QSJB6UD5,135,Ciroc Executive,Ciroc,Liqueur,500,29.96,White-Wang,South Zacharyhaven,NE,South,Wholesale,2025/04/02,30,30.02,900.6,wellslori@example.org
58,TGH6ZQKU,128,Tanqueray Certainly,Tanqueray,Liqueur,1000,13.58,Boyle Ltd,New Michael,ND,Northeast,Wholesale,2025/03/23,49,14.37,704.13,oward@example.com
59,XU1B54B7,111,Ciroc Set,Ciroc,Tequila,700,15.29,Woodard Group,South Mark,AK,Northeast,Retail,2025/03/26,26,19.61,509.86,hilltina@example.com
60,7Q58FET4,103,Johnnie Walker Treatment,Johnnie,Rum,750,40.27,"Perry, Travis and Goodwin",West William,MP,South,Retail,2025/05/12,40,56.83,2273.2,ryanshane@example.net
61,98UL6M7Y,102,Guinness And,Guinness,Whisky,500,19.71,Green-Cole,North Tamiberg,WV,Northeast,Wholesale,2025/04/08,22,55.93,1230.46,wkelly@example.com
62,VH64DIDE,112,Tanqueray Half,Tanqueray,Whisky,1000,13.97,Zimmerman Ltd,Joelborough,CT,West,Retail,2025/03/31,15,58.28,874.2,ricardobartlett@example.org
63,MKP7W7J4,150,Ciroc Once,Ciroc,Tequila,750,10.32,Gonzales Inc,Tammyfort,SC,Northeast,Wholesale,2025/04/12,16,49.92,798.72,lisastewart@example.com
64,OV14AHD1,115,Captain Morgan Air,Captain,Vodka,750,7.15,Glenn PLC,East Donald,KS,West,Wholesale,2025/05/10,22,74.45,1637.9,ashleyfry@example.org
65,8TO9HMAN,134,Captain Morgan Reveal,Captain,Rum,750,33.64,Perry and Sons,Port Katherinemouth,NH,Southeast,Wholesale,2025/05/10,3,64.63,193.89,sarah66@example.com
66,4EUAQFZP,102,Ciroc Father,Ciroc,Rum,700,32.81,Sosa-Tucker,Traciberg,GU,Northeast,Retail,2025/05/15,11,14.86,163.46,hayden48@example.com
67,18DV2S3W,149,Tanqueray Mother,Tanqueray,Whisky,750,11.31,Anderson LLC,Jessicaland,IL,Southeast,Wholesale,2025/05/15,3,91.37,274.11,sanchezdanielle@example.org
68,LJCU9K42,128,Guinness Relationship,Guinness,Tequila,750,11.85,"Hall, Smith and Hill",Martinezchester,UT,Midwest,Wholesale,2025/05/04,11,94.95,1044.45,moralesanna@example.com
69,NH7KM5JO,119,Johnnie Walker Career,Johnnie,Tequila,750,43.27,Miller-Walls,Robersonfort,MI,Northeast,Retail,2025/04/08,34,30.96,1052.64,christine59@example.com
70,VPMS8B8X,128,Tanqueray Stop,Tanqueray,Liqueur,750,42.05,Patterson and Sons,East Richardville,NY,Midwest,Wholesale,2025/05/04,37,19.85,734.45,tricialee@example.org
71,CXU4EKVH,129,Baileys Still,Baileys,Gin,750,16.38,Meyer-Ramirez,Lake Paul,AS,Northeast,Wholesale,2025/05/13,2,93.37,186.74,heatherduncan@example.net
72,RWPFFD8E,101,Don Julio Range,Don,Whisky,700,30.76,Williams LLC,Tyroneberg,NC,West,Retail,2025/05/17,32,77.38,2476.16,sarah02@example.org
73,53B2G7LZ,138,Captain Morgan Item,Captain,Gin,700,19.14,Humphrey-Bates,South Tony,TX,Northeast,Wholesale,2025/04/25,39,21.7,846.3,teresataylor@example.net
74,OSCV7RSQ,140,Johnnie Walker Interesting,Johnnie,Gin,700,36.8,"Wood, Neal and Rodriguez",East Bruceton,CA,Northeast,Retail,2025/04/17,42,23.55,989.1,matthew49@example.com
75,SISWCCF4,135,Tanqueray Drive,Tanqueray,Whisky,500,4.64,Gutierrez-Olson,Andrewland,WI,Northeast,Wholesale,2025/04/20,10,66.98,669.8,eholt@example.net
76,9F6ZTEOX,129,Don Julio Surface,Don,Vodka,500,19.03,Perez LLC,Briannachester,GU,Midwest,Wholesale,2025/03/24,31,39.33,1219.23,fisherchristine@example.com
77,KF5KGHPQ,138,Baileys Sure,Baileys,Liqueur,500,12.2,"Rivas, Smith and Molina",Port Stephanie,TX,South,Retail,2025/04/07,25,14.51,362.75,hurstjessica@example.net
78,A04HA8VJ,123,Guinness Although,Guinness,Beer,700,25.59,Arnold-Smith,South Mary,HI,West,Retail,2025/03/24,8,35.81,286.48,thompsonlaura@example.com
79,IEKPIQLU,117,Baileys Everybody,Baileys,Beer,1000,26.31,Baker PLC,West Joshua,GA,West,Retail,2025/03/29,26,18.66,485.16,rachelstewart@example.net
80,M5DUPMUE,147,Tanqueray Real,Tanqueray,Liqueur,750,6.13,Fisher and Sons,North Caitlinberg,CA,West,Retail,2025/04/08,34,68.77,2338.18,wilsonalicia@example.net
81,G5MUAGYJ,148,Don Julio Citizen,Don,Gin,500,25.84,"Reyes, Foster and Snow",Lopezchester,MS,Southeast,Wholesale,2025/03/22,43,44.99,1934.57,amyhayes@example.net
82,M0KQLFVV,140,Johnnie Walker Establish,Johnnie,Liqueur,750,24.71,Meyers PLC,Marthaborough,CO,South,Wholesale,2025/05/06,24,55.97,1343.28,deborah39@example.org
83,LHHGH48I,130,Captain Morgan Admit,Captain,Whisky,700,32.39,Jackson Inc,West Gabriela,MT,South,Retail,2025/05/19,24,36.06,865.44,hcraig@example.net
84,M1KW7HJM,122,Ciroc Room,Ciroc,Liqueur,700,12.92,Carter and Sons,West Valerie,RI,West,Wholesale,2025/04/16,19,77.32,1469.08,morgan15@example.org
85,VLCSCV17,101,Don Julio Character,Don,Vodka,700,7.84,Hawkins Inc,Carolinefurt,NH,Midwest,Wholesale,2025/05/09,4,42.32,169.28,macdonaldshannon@example.org
86,D98U8C2W,113,Johnnie Walker Message,Johnnie,Liqueur,750,7.7,Smith Group,Port Tammyfurt,OR,Southeast,Retail,2025/04/07,45,16.0,720.0,jessicaswanson@example.org
87,4FIY8T84,120,Tanqueray Bit,Tanqueray,Tequila,500,18.77,"Medina, Rodgers and Welch",Millerstad,DE,West,Wholesale,2025/03/30,30,67.38,2021.4,lopezronnie@example.com
88,MV3NRO6R,148,Baileys Medical,Baileys,Vodka,700,20.16,Kline-Bryant,Blackland,RI,Northeast,Retail,2025/05/03,8,48.4,387.2,kgriffin@example.net
89,38C8JCA5,115,Guinness Employee,Guinness,Vodka,750,26.16,"Thompson, Tucker and Zhang",North Candace,NE,Northeast,Wholesale,2025/05/08,37,21.08,779.96,pbauer@example.net
90,PBRO0022,137,Guinness Forward,Guinness,Vodka,500,4.83,"Graves, Gardner and Parker",Kristiview,WI,Southeast,Wholesale,2025/04/03,9,72.95,656.55,umay@example.org
91,JVDBPYV2,150,Guinness However,Guinness,Tequila,750,10.97,Morris-Hart,South Cheryl,MT,Southeast,Wholesale,2025/04/07,29,90.77,2632.33,ywright@example.net
92,N92AR49A,102,Guinness Area,Guinness,Liqueur,750,30.78,Jones-Li,Jenniferside,NM,Southeast,Retail,2025/03/21,13,27.77,361.01,jennifer04@example.net
93,X25TPYLI,142,Ciroc Dinner,Ciroc,Liqueur,700,5.71,"Snow, Arnold and Prince",Cindybury,WV,Southeast,Retail,2025/03/27,18,66.03,1188.54,jasonbraun@example.org
94,9CLWV35I,133,Smirnoff Cup,Smirnoff,Rum,750,41.47,Frey-Dean,Grantport,ND,South,Wholesale,2025/05/10,35,91.51,3202.85,michael16@example.com
95,PKNIECRR,122,Ciroc Last,Ciroc,Beer,750,20.62,Jones and Sons,Williamsmouth,VT,Midwest,Wholesale,2025/04/03,20,30.55,611.0,ashley81@example.org
96,2WS2KPN3,128,Smirnoff Near,Smirnoff,Beer,500,30.91,"Greene, Garner and Reilly",Bradleystad,MI,West,Retail,2025/04/27,28,72.86,2040.08,kvelez@example.org
97,GFVJX6KE,104,Johnnie Walker Avoid,Johnnie,Tequila,750,16.0,Henry and Sons,New Judith,CA,Southeast,Retail,2025/04/20,28,23.24,650.72,dgreer@example.org
98,M14FX9ZU,102,Smirnoff Explain,Smirnoff,Vodka,500,24.37,"Fitzgerald, Woods and Colon",South Cody,PW,West,Wholesale,2025/05/08,25,50.61,1265.25,martinezmark@example.net
99,C5R5Z3M8,114,Captain Morgan Top,Captain,Tequila,500,26.49,Smith and Sons,Jesseton,ID,West,Wholesale,2025/03/21,37,19.65,727.05,ggibbs@example.net
100,AZCQ6QKV,134,Ciroc Pretty,Ciroc,Liqueur,750,37.73,Mullins-Baxter,North Joshua,OH,Southeast,Retail,2025/04/03,19,81.63,1550.97,henrygarcia@example.com
101,464FVK7C,117,Captain Morgan Actually,Captain,Rum,700,43.61,Edwards-Hart,Kimberlystad,PW,South,Retail,2025/04/28,17,92.24,1568.08,brandonhayes@example.org
102,HCZU0PHZ,112,Don Julio Act,Don,Tequila,500,25.27,Rodriguez Inc,Chambersbury,VA,Northeast,Wholesale,2025/04/06,40,95.89,3835.6,claytondaniel@example.com
103,XY28UNOQ,115,Smirnoff Term,Smirnoff,Rum,500,8.65,Howard PLC,South Michaelstad,FM,Midwest,Retail,2025/04/18,34,28.1,955.4,jonathanmeyers@example.net
104,O3XRXRSO,108,Smirnoff Police,Smirnoff,Vodka,1000,21.45,Golden Ltd,West John,WV,Midwest,Retail,2025/04/18,24,5.72,137.28,ostanley@example.net
105,R8HHSFME,110,Captain Morgan Single,Captain,Gin,1000,32.97,Morris-Johnson,Cathytown,WY,Northeast,Wholesale,2025/04/25,34,70.49,2396.66,seanshepard@example.org
106,AWYTXCQL,141,Smirnoff Story,Smirnoff,Vodka,500,23.32,Daniels Inc,Kimberlymouth,WV,West,Retail,2025/05/10,43,51.53,2215.79,charlene33@example.org
107,USCAJEAY,132,Smirnoff Bed,Smirnoff,Vodka,1000,29.39,"Miller, Escobar and Greene",Loriborough,OK,Southeast,Retail,2025/03/28,34,75.64,2571.76,brittney95@example.com
108,QHLO5ELJ,128,Tanqueray Candidate,Tanqueray,Gin,750,19.77,"Jackson, Dawson and Russell",Burkeshire,WI,South,Wholesale,2025/03/21,4,24.54,98.16,ashley92@example.net
109,WQVNBPEZ,102,Guinness Us,Guinness,Gin,500,4.93,"Anderson, Gonzales and Gomez",Veronicatown,CT,South,Wholesale,2025/04/05,25,83.7,2092.5,qgutierrez@example.com
110,T8EO58Y8,103,Captain Morgan May,Captain,Beer,750,28.95,Evans LLC,Kevinchester,DE,Midwest,Retail,2025/03/28,8,83.33,666.64,ramirezjon@example.net
111,TKGNDX2I,149,Smirnoff Research,Smirnoff,Rum,1000,9.15,Jones-White,East Phillipport,TX,Midwest,Wholesale,2025/04/13,13,22.82,296.66,dianasmith@example.net
112,0YG7ROEM,112,Captain Morgan Travel,Captain,Whisky,750,12.83,West-Garcia,East Brooke,NC,Northeast,Wholesale,2025/03/29,49,5.35,262.15,chicks@example.net
113,TD1HHVGQ,127,Don Julio Quickly,Don,Beer,700,23.36,"Jackson, Trujillo and Mathis",Port Deborah,VI,Southeast,Retail,2025/05/16,22,35.19,774.18,vflowers@example.net
114,7HQYQD17,105,Guinness Anything,Guinness,Whisky,500,24.9,"Sanchez, Stuart and Dunn",Stewarttown,NH,Southeast,Retail,2025/04/17,13,68.68,892.84,jillian63@example.org
115,P27NTY6U,148,Tanqueray Born,Tanqueray,Liqueur,1000,9.45,Flores-Fernandez,Heatherborough,FM,Northeast,Retail,2025/04/21,8,39.63,317.04,rachellopez@example.org
116,MNI6X2FU,125,Baileys Quickly,Baileys,Liqueur,500,21.58,"Myers, Baker and Hernandez",Lake Shawn,OH,Northeast,Retail,2025/05/19,49,76.98,3772.02,ebonyfinley@example.org
117,Q5CM7O6A,138,Smirnoff Third,Smirnoff,Vodka,1000,6.7,Jones-Garza,Sharonview,IL,South,Retail,2025/03/26,25,90.17,2254.25,gmorris@example.org
118,TJRVLC73,103,Tanqueray Which,Tanqueray,Rum,500,4.59,Molina-Kent,Port Andrew,NM,Midwest,Wholesale,2025/04/10,28,23.14,647.92,hughesshannon@example.org
119,Q037CK6R,145,Baileys Case,Baileys,Beer,700,12.63,"Bennett, Garrett and Taylor",New Monique,CA,Midwest,Wholesale,2025/05/01,46,52.26,2403.96,hmays@example.net
120,PEV5BJ2N,107,Tanqueray Treatment,Tanqueray,Beer,700,38.22,Houston and Sons,East Jason,OR,Northeast,Retail,2025/04/30,23,20.28,466.44,williamsvincent@example.net
121,HWQEN0LD,150,Ciroc Task,Ciroc,Tequila,1000,40.57,Young and Sons,Andersonstad,NJ,South,Retail,2025/03/23,11,32.06,352.66,qbell@example.com
122,LG64GQKW,130,Johnnie Walker Thousand,Johnnie,Gin,500,32.88,"Rodriguez, Howard and Kennedy",Jimburgh,WV,West,Retail,2025/04/12,39,30.38,1184.82,lisa11@example.com
123,24AJ8V3O,124,Baileys Play,Baileys,Whisky,750,32.66,Brown-Smith,Port Larryfort,IL,Midwest,Wholesale,2025/05/04,4,99.37,397.48,jyoung@example.org
124,IB5LYVPV,102,Baileys Cause,Baileys,Whisky,700,39.24,Porter-Herring,Aprilfort,PW,Midwest,Retail,2025/04/25,34,10.46,355.64,thomas55@example.com
125,PHMAW9SR,106,Ciroc Opportunity,Ciroc,Vodka,700,19.61,Chandler-Rodriguez,Mariashire,ID,Midwest,Retail,2025/04/17,47,56.98,2678.06,butlermichael@example.com
126,OYJIKAWF,107,Smirnoff Town,Smirnoff,Beer,750,40.61,Carroll and Sons,Laurenside,WI,Northeast,Wholesale,2025/05/13,36,6.83,245.88,dennis23@example.com
127,EGUWOHQO,115,Smirnoff How,Smirnoff,Rum,700,22.89,Williams-Wood,Mirandaberg,PA,Northeast,Retail,2025/05/15,42,58.61,2461.62,lamrebekah@example.org
128,NB8TEA6M,102,Captain Morgan Why,Captain,Whisky,750,20.64,Deleon Ltd,Carolchester,NM,South,Wholesale,2025/04/13,27,44.81,1209.87,karengraves@example.org
129,NWTWZGUX,140,Don Julio Seek,Don,Whisky,750,33.39,Davis Group,Carrieberg,TN,South,Retail,2025/04/01,11,31.77,349.47,singletonshane@example.org
130,UYBYAIL7,103,Don Julio Present,Don,Whisky,1000,31.77,King LLC,East Cathyville,MN,Southeast,Retail,2025/04/22,3,84.81,254.43,scott97@example.com
131,HCEYH3RW,144,Baileys Least,Baileys,Beer,750,26.62,Gallagher-Deleon,New Tomview,AS,Midwest,Retail,2025/05/18,36,72.26,2601.36,hicksstacey@example.com
132,D8KKY8Y3,103,Ciroc Recent,Ciroc,Tequila,700,24.88,Willis LLC,South Bryantown,GU,Midwest,Wholesale,2025/04/23,26,96.32,2504.32,johnsanders@example.org
133,T7YST621,146,Guinness Senior,Guinness,Beer,750,7.64,"Fox, Sanders and Miles",Grahamburgh,MI,South,Wholesale,2025/04/21,35,62.38,2183.3,ebishop@example.org
134,V2KO6X21,145,Guinness Order,Guinness,Beer,1000,40.47,"Allen, Holland and King",Jackieburgh,LA,Southeast,Wholesale,2025/04/23,32,46.92,1501.44,troy58@example.com
135,SBENX9XR,114,Baileys Southern,Baileys,Gin,700,20.49,"Nichols, Johnson and Gonzales",Port Beth,ID,Southeast,Retail,2025/04/14,24,68.11,1634.64,perrythomas@example.org
136,X4JQ4NHG,132,Smirnoff Behavior,Smirnoff,Whisky,700,10.54,"Adams, Silva and Murphy",Shawnstad,MP,South,Wholesale,2025/05/03,1,9.37,9.37,moodythomas@example.com
137,66X0ZAR8,127,Baileys Prepare,Baileys,Whisky,1000,25.45,"Andrews, Logan and Evans",Crystalfort,KY,Midwest,Wholesale,2025/04/02,34,48.57,1651.38,orogers@example.com
138,RN13GHBR,118,Tanqueray Pick,Tanqueray,Beer,750,28.15,Cox Ltd,New Michael,SD,South,Retail,2025/04/30,41,26.61,1091.01,cheryl95@example.org
139,9E8WE47D,107,Captain Morgan Hold,Captain,Rum,1000,23.95,"Harper, Newton and Norman",Marshallstad,HI,South,Retail,2025/04/14,41,95.14,3900.74,justinchapman@example.com
140,6RTSLAT5,144,Johnnie Walker Yes,Johnnie,Whisky,700,32.88,Hodge LLC,New Davidfort,NH,West,Retail,2025/04/22,22,15.64,344.08,kathryndavis@example.com
141,TTKQ0LDJ,112,Don Julio Opportunity,Don,Liqueur,750,24.06,Singleton-Smith,Lake Connie,VI,West,Wholesale,2025/04/15,17,41.06,698.02,carriejones@example.org
142,F3H96L5Y,140,Tanqueray Much,Tanqueray,Vodka,500,35.4,"Ramsey, Li and Palmer",Leeport,TX,Northeast,Retail,2025/05/13,15,12.53,187.95,tina64@example.com
143,Y6B18IZ3,145,Smirnoff Firm,Smirnoff,Tequila,750,32.15,Smith-Gutierrez,Averyside,MS,Northeast,Wholesale,2025/03/31,33,47.31,1561.23,montescarl@example.org
144,RB9GFFV7,112,Johnnie Walker Simply,Johnnie,Rum,500,24.05,Wright-Walker,North Angelaville,MD,Northeast,Wholesale,2025/03/23,32,99.64,3188.48,samanthasanford@example.org
145,HZW689RJ,111,Captain Morgan Attention,Captain,Beer,750,18.73,"Hall, Lane and Brown",North Tyronehaven,NH,Southeast,Retail,2025/05/06,21,23.51,493.71,marcus74@example.org
